date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2017-05-07,pre_graduation,857,0.06975197256447258,5,0,6,3,1
2017-05-07,pre_graduation,865,0.09066732374768086,3,2,4,6,3
2017-05-19,pre_graduation,642,0.09711006655036507,2,1,1,2,4
2017-06-06,pre_graduation,680,0.041848030204194586,2,1,7,3,2
2017-06-28,pre_graduation,568,-0.054295357420357404,2,2,4,1,2
2017-06-29,pre_graduation,105,0.014285714285714284,0,0,2,0,1
2017-07-04,pre_graduation,348,0.1481691919191919,4,0,4,4,1
2017-07-05,pre_graduation,760,-0.011708754208754217,1,3,2,1,1
2017-07-12,pre_graduation,799,0.0550545498272771,2,0,4,0,2
2017-07-18,pre_graduation,449,0.10028238045479423,1,2,5,0,0
2017-07-18,pre_graduation,971,0.04287540034491254,5,3,3,2,4
2017-07-21,pre_graduation,47,0.06666666666666667,0,0,0,0,0
2017-07-24,pre_graduation,350,0.13936658249158249,5,0,2,1,1
2017-08-10,pre_graduation,473,0.1696794475365904,2,2,1,0,1
2017-08-10,pre_graduation,410,0.024190283400809715,0,3,3,0,2
2017-08-10,pre_graduation,1119,0.09747994652406418,3,8,7,3,3
2017-08-14,pre_graduation,949,0.10913618948101705,1,1,4,3,2
2017-08-17,pre_graduation,342,-0.11060502989074418,0,0,1,2,0
2017-08-26,pre_graduation,567,-0.00449346405228759,0,3,3,3,0
2017-08-26,pre_graduation,180,-0.048903508771929824,2,3,1,1,1
2017-09-13,pre_graduation,159,0.07401285583103764,0,2,1,1,0
2017-09-20,pre_graduation,411,0.17372967479674792,1,5,2,1,4
2017-09-20,pre_graduation,501,0.09717281510759772,1,0,3,1,1
2017-09-26,pre_graduation,340,0.06481481481481481,2,2,2,0,0
2017-10-02,pre_graduation,828,0.06013574902463791,0,1,6,2,0
2017-10-03,pre_graduation,706,-0.02088822751322751,1,2,5,3,3
2017-10-09,pre_graduation,925,0.030262797466187288,5,5,5,2,1
2017-10-12,pre_graduation,354,-0.02006802721088434,3,1,1,1,0
2017-10-13,pre_graduation,281,0.07779761904761906,2,0,1,0,0
2017-11-05,pre_graduation,541,0.08954715219421103,3,1,3,0,0
2017-11-15,pre_graduation,460,0.0849090909090909,4,2,3,2,2
2017-11-30,pre_graduation,859,0.0024245199245199285,1,2,3,0,0
2017-12-05,pre_graduation,507,0.1414578477078477,1,2,2,0,2
2018-01-05,pre_graduation,320,0.08526334776334776,1,3,6,0,3
2018-03-20,pre_graduation,609,0.15192889078134975,1,3,6,2,1
2018-04-09,pre_graduation,399,0.14964056145874333,0,1,6,0,0
2018-05-10,pre_graduation,344,0.0305048555048555,1,0,4,1,2
2018-05-28,pre_graduation,223,0.06874999999999999,1,0,4,0,0
2018-06-02,post_graduation,254,0.005925925925925905,0,1,2,0,1
2018-07-02,post_graduation,187,-0.2163043478260869,0,2,3,1,0
2018-07-11,post_graduation,1221,0.170523873815953,4,3,6,4,1
2018-07-29,post_graduation,272,0.07428451178451179,0,1,6,0,1
2018-08-07,post_graduation,465,0.19109477124183014,2,1,3,0,2
